Country,City,Latitude,Longitude
Afghanistan,Kabul,34.5553494,69.207486
Albania,Tirane,41.3275459,19.8186982
Algeria,Algiers,36.753768,3.0587561
American Samoa,Pago Pago,-14.2732727,-170.7030577
Andorra,Andorra la Vella,42.50631740000001,1.5218355
Angola,Luanda,-8.8146556,13.2301756
Antigua and Barbuda,W. Indies,17.060816,-61.796428
Argentina,Buenos Aires,-34.6036844,-58.3815591
Armenia,Yerevan,40.1872023,44.515209
Aruba,Oranjestad,12.5227171,-70.0352618
Australia,Canberra,-35.2801846,149.1310324
Austria,Vienna,48.2081664,16.3718643
Azerbaijan,Baku,40.40926169999999,49.8670924
Bahamas,Nassau,25.0443312,-77.3503609
Bahrain,Manama,26.2235305,50.5875935
Bangladesh,Dhaka,23.804093,90.4152376
Barbados,Bridgetown,13.0971177,-59.6132388
Belarus,Minsk,53.9006011,27.558972
Belgium,Brussels,50.8476424,4.3571696
Belize,Belmopan,17.2510114,-88.7590201
Benin,Porto-Novo,6.478623799999999,2.6203212
Bhutan,Thimphu,27.471586,89.6386108
Bolivia,La Paz,-16.489689,-68.11929359999999
Bosnia and Herzegovina,Sarajevo,43.8562586,18.4130763
Botswana,Gaborone,-24.6580003,25.9077037
Brazil,Brasilia,-15.7975154,-47.89188739999999
Brazil,Sao Paulo,-23.5557714,-46.6395571
Brazil,Rio de Janeiro,-22.9068467,-43.1728965
Brazil,Salvador,-12.9777334,-38.501648
Brazil,Brasilia,-15.7975154,-47.89188739999999
Brazil,Fortaleza,-3.7327203,-38.5270134
Brazil,Belo Horizonte,-19.919052,-43.9386685
Brazil,Manaus,-3.1190275,-60.0217314
Brazil,Curitiba,-25.4372382,-49.2699727
Brazil,Recife,-8.0577401,-34.8829629
Brazil,Porto Alegre,-30.0368176,-51.2089887
British Virgin Islands,Road Town,18.4286115,-64.6184657
Brunei Darussalam,Bandar Seri Begawan,4.8923413,114.9419021
Bulgaria,Sofia,42.6977082,23.3218675
Burkina Faso,Ouagadougou,12.3714277,-1.5196603
Burundi,Bujumbura,-3.361378,29.3598782
Cambodia,Phnom Penh,11.5563738,104.9282099
Cameroon,Yaounde,3.8616853,11.5202292
Canada,Ottawa,45.4215296,-75.69719309999999
Cape Verde,Praia,14.919775,-23.5073437
Cayman Islands,George Town,19.2965778,-81.3819158
Central African Republic,Bangui,4.362156,18.5827765
Chad,N'Djamena,12.1191352,15.0502875
Chile,Santiago,-33.4488897,-70.6692655
China,Beijing,39.904211,116.407395
Colombia,Bogota,4.710988599999999,-74.072092
Comros,Moroni,-11.7061223,43.2517012
Congo,Brazzaville,-4.2744405,15.2812803
Costa Rica,San Jose,9.9280694,-84.0907246
Cote d'Ivoire,Yamoussoukro,6.816274099999999,-5.274362900000001
Croatia,Zagreb,45.8150108,15.981919
Cuba,Havana,23.1135925,-82.3665956
Cyprus,Nicosia,35.1855659,33.38227639999999
Czech Republic,Prague,50.0755381,14.4378005
Democratic People's Republic of,P'yongyang,39.0392193,125.7625241
Democratic Republic of the Congo,Kinshasa,-4.3032527,15.310528
Denmark,Copenhagen,55.6760968,12.5683371
Djibouti,Djibouti,11.825138,42.590275
Dominica,Roseau,15.3091676,-61.37935539999999
Dominica Republic,Santo Domingo,18.4626178,-69.93609239999999
East Timor,Dili,-8.5563336,125.5798233
Ecuador,Quito,-0.1806532,-78.4678382
Egypt,Cairo,30.0444196,31.2357116
Egypt,Cairo,30.0444196,31.2357116
Egypt,Alexandria,31.2000924,29.9187387
Egypt,Giza,30.0130557,31.2088526
Egypt,Shubra El Kheima,30.1233853,31.26092879999999
Egypt,Port Said,31.2652893,32.3018661
Egypt,Suez,29.9668343,32.5498069
Egypt,Luxor,25.6872431,32.6396357
Egypt,Asyut,27.1783117,31.1859257
Egypt,Ismailia,30.5964923,32.2714587
Egypt,Mansoura,31.0409483,31.3784704
El Salvador,San Salvador,13.6929403,-89.2181911
Equatorial Guinea,Malabo,3.7549606,8.7821344
Eritrea,Asmara,15.3317304,38.9300394
Estonia,Tallinn,59.43696079999999,24.7535746
Ethiopia,Addis Ababa,9.0191936,38.7524635
Falkland Islands (Malvinas),Stanley,-51.6927517,-57.86196
Faroe Islands,Torshavn,62.01072479999999,-6.7740852
Fiji,Suva,-18.1405049,178.4232507
Finland,Helsinki,60.16985569999999,24.938379
France,Paris,48.856614,2.3522219
French Guiana,Cayenne,4.937977399999999,-52.3354386
French Polynesia,Papeete,-17.5324608,-149.5677151
Gabon,Libreville,0.4077972,9.440283299999999
Gambia,Banjul,13.454375,-16.5753186
Georgia,T'bilisi,41.6938026,44.80151679999999
Germany,Berlin,52.52000659999999,13.404954
Ghana,Accra,5.559284600000001,-0.1974306
Greece,Athens,37.9838096,23.7275388
Greenland,Nuuk,64.17432339999999,-51.7372787
Guadeloupe,Basse-Terre,15.9965719,-61.73172150000001
Guatemala,Guatemala,15.783471,-90.23075899999999
Guernsey,St. Peter Port,49.4598285,-2.5351082
Guinea,Conakry,9.5090945,-13.7119312
Guinea-Bissau,Bissau,11.803749,-15.180413
Guyana,Georgetown,6.8012793,-58.1551255
Haiti,Port-au-Prince,18.594395,-72.3074326
Heard Island and McDonald Islands,Heard Island and McDonald Islands,-53.08181,73.50415799999999
Honduras,Tegucigalpa,14.065049,-87.1715002
Hungary,Budapest,47.497912,19.040235
Iceland,Reykjavik,64.1469868,-21.9407552
India,New Delhi,28.6139391,77.2090212
India,Agra,27.1766701,78.00807449999999
India,Ahmedabad,23.022505,72.5713621
India,Amritsar,31.6339793,74.8722642
India,Bangalore,12.9715987,77.5945627
India,Chennai,13.0826802,80.2707184
India,Delhi,28.7040592,77.10249019999999
India,Gurgaon,28.4594965,77.0266383
